osm_id,name,highway,waterway,aerialway,barrier,man_made,other_tags,20mph,Order,Area,Year,LENGTH_GEO,START_X,START_Y,MID_X,MID_Y,END_X,END_Y,CENTROID_X,CENTROID_Y,INSIDE_X,INSIDE_Y,PART_COUNT,PNT_COUNT,BEARING,EXT_MIN_X,EXT_MIN_Y,EXT_MAX_X,EXT_MAX_Y
4252155,Skaethorn Road,tertiary,,,,,,YES,NW1,Year,,122.69801685600,255660.70198300001,669098.61469299998,255722.01241699999,669100.52583399997,255783.23173599999,669103.75970599998,255722.00666200000,669100.61472199997,255721.98749900001,669100.52505800000,1.00000000000,4.00000000000,87.59556768700,255660.70198300001,669098.61469299998,255783.23173599999,669103.75970599998
4337099,Tibbermore Road,residential,,,,,,YES,NW1,Partick,2011,112.43978554600,255175.00494799999,667222.57056699996,255196.34589100000,667274.57389600005,255224.52478499999,667310.71597000002,255196.69052000000,667273.68344900000,255194.77817700000,667270.75370999996,1.00000000000,4.00000000000,29.32715355630,255175.00494799999,667222.57056699996,255224.52478499999,667314.84401100001
4337100,Blairatholl Gardens,residential,,,,,,YES,NW1,Partick,2011,28.92496824290,255216.22020200000,667173.66718600004,255203.21385299999,667167.34744499996,255190.20750399999,667161.02770300000,255203.21385299999,667167.34744499996,255203.21385299999,667167.34744499996,1.00000000000,2.00000000000,244.08503757500,255190.20750399999,667161.02770300000,255216.22020200000,667173.66718600004
4337101,Kirkmichael Avenue,residential,,,,,,YES,NW1,Partick,2011,94.38418524300,255179.74096200001,667115.44648799999,255201.56715700001,667073.61399099999,255222.62408000001,667031.39283999999,255201.48025800000,667073.56962700002,255201.56639900000,667073.61547500000,1.00000000000,5.00000000000,152.96989523800,255179.74096200001,667031.39283999999,255222.62408000001,667115.44648799999
4337102,Monkscroft Avenue,residential,,,,,,YES,NW1,Partick,2011,97.77365843690,255231.52228300000,666937.63958399999,255252.37348300000,666968.48568599997,255230.45290599999,667012.17473800003,255245.25792599999,666970.62228000001,255248.33103999999,666976.53842700005,1.00000000000,4.00000000000,359.17801755900,255230.45290599999,666937.63958399999,255259.71005100000,667012.17473800003
4337103,Monkscroft Court,residential,,,,,,YES,NW1,Partick,2011,29.97789000530,255259.71005100000,666953.87088900001,255266.43156800000,666940.47588899999,255273.15308399999,666927.08088999998,255266.43156800000,666940.47588899999,255266.43156800000,666940.47588899999,1.00000000000,2.00000000000,153.35282573900,255259.71005100000,666927.08088999998,255273.15308399999,666953.87088900001
4337104,Monkscroft Gardens,residential,,,,,,YES,NW1,Partick,2011,47.68017618710,255245.36868000001,666982.43958999997,255267.13900400000,666992.14740599995,255288.90932800001,667001.85522200004,255267.13900400000,666992.14740599995,255267.13900400000,666992.14740599995,1.00000000000,2.00000000000,65.96696782520,255245.36868000001,666982.43958999997,255288.90932800001,667001.85522200004
4422977,Blairatholl Avenue,residential,,,,,,YES,NW1,Partick,2011,206.81159589600,255155.31905699999,667231.52699699998,255218.55977500000,667164.78568400000,255193.55625600001,667089.33426000003,255208.08962899999,667162.90165500005,255218.06149299999,667166.67726499995,1.00000000000,9.00000000000,164.94859335800,255155.31905699999,667089.33426000003,255233.37688400000,667231.52699699998
4422978,Blairatholl Avenue,residential,,,,,,YES,NW1,Partick,2011,46.04486958890,255210.50427100001,667206.99280799995,255224.18965499999,667222.56272100005,255213.78973200000,667240.25113500003,255220.33761799999,667222.96505200001,255224.23257600001,667223.09616199997,1.00000000000,4.00000000000,5.64172341911,255210.50427100001,667206.99280799995,255224.89118499999,667240.25113500003
4614747,Crown Street,primary,,,,,"""lit""=>""yes"",""maxspeed""=>""30 mph"",""oneway""=>""yes"",""ref""=>""A8""",YES,S1,Gorbals,2011,85.82282844660,259214.47537800000,664227.53394700005,259236.58590100001,664264.30269899999,259258.69642399999,664301.07145000005,259236.58590100001,664264.30269899999,259236.58590100001,664264.30269899999,1.00000000000,2.00000000000,31.02017847830,259214.47537800000,664227.53394700005,259258.69642399999,664301.07145000005
4642281,McNeil Street,footway,,,,,"""bicycle""=>""permissive"",""foot""=>""yes"",""lit""=>""yes"",""surface""=>""paved""",YES,S1,Gorbals,2011,24.20067564740,259856.58214799999,663969.83914000005,259849.35044300000,663960.14775799995,259841.81522600001,663950.68242700002,259849.31357599999,663960.17521599995,259849.34664999999,663960.14299199998,1.00000000000,3.00000000000,217.62677545100,259841.81522600001,663950.68242700002,259856.58214799999,663969.83914000005
4644949,Green Street,residential,,,,,"""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""20 mph""",YES,NE1,Calton,2011,340.12370798900,260195.19869200001,664299.49822800001,260280.01613999999,664446.86781199998,260360.77962200000,664596.46846300003,260279.35031000001,664447.23777899996,260279.99410899999,664446.82952899998,1.00000000000,9.00000000000,29.14261395030,260195.19869200001,664299.49822800001,260360.77962200000,664596.46846300003
4644950,Millroad Street,residential,,,,,"""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""20 mph""",YES,NE1,Calton,2011,300.84390802500,260565.96540300001,664510.95279300003,260427.24251499999,664566.57867900003,260289.37285700001,664626.59141100000,260427.46743799999,664568.06146200001,260426.83420400001,664566.74702300003,1.00000000000,10.00000000000,292.68897154200,260289.37285700001,664510.95279300003,260565.96540300001,664626.59141100000
